python3-6103    [001] ..s..  7297.270405: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100
<idle>-0       [001] ..s..  8359.193569: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8365.193013: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8365.193027: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8365.193029: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

[2024-10-01 05:09:04.802016] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:11.377480] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:12.331521] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:12.680377] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:12.967205] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:13.286170] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:13.479805] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:13.663274] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:09:18.518543] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:12:34.716667] ICMP Request from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:22:56.517750] ICMP Request from 35.202.28.101 to 10.128.0.5
